latitude,longitude,elevation_masl,farm_area_hectares,slope_degrees,shade_coverage_pct,variety,plant_density_per_ha,irrigation_type,plant_age_months,plant_height_cm,trunk_diameter_cm,number_of_branches,leaf_count,bbch_stage,monthly_temp_min_c,monthly_temp_max_c,monthly_temp_avg_c,monthly_rainfall_mm,monthly_relative_humidity_pct,monthly_solar_radiation_mj_m2,monthly_wind_speed_ms,monthly_gdd,monthly_vpd_kpa,soil_pH,soil_organic_matter_pct,soil_nitrogen_pct,soil_phosphorus_mg_per_100g,soil_potassium_mg_per_100g,soil_cec_meq_per_100g,soil_moisture_pct,soil_bulk_density_g_cm3,bean_screen_size,bean_moisture_pct,bean_defect_count_per_300g,bean_count_per_100g,quality_score,caffeine_content_pct,cherry_yield_kg,environmental_stress_index
16.046946,120.761747,781,1.63,9.7,22.2,Robusta Liberica,1830,Rainfed,60.2,223.7,10.1,22,716,7,21.9,31.0,26.1,13.4,50.8,631.0,0.5,483.33,1.66,5.25,3.91,0.194,3.3,56.3,21.2,28.1,1.18,18.4,12.6,0,343,98.0,1.54,10.91,0.157
15.54346,121.185307,519,0.81,7.7,24.3,Robusta Liberica,1701,Drip,81.8,206.3,11.2,28,800,0,23.6,32.3,27.5,35.4,54.8,514.0,8.7,525.45,1.66,5.52,2.4,0.125,7.9,28.3,19.0,21.2,1.14,16.6,12.3,1,363,98.0,2.36,17.54,0.115
16.115692,122.02457,678,1.59,21.4,23.6,Robusta Liberica,2149,Rainfed,57.4,173.5,7.9,16,548,7,25.2,33.1,29.0,603.2,72.6,456.9,0.8,569.61,1.1,6.0,2.18,0.11,2.0,10.7,16.6,29.3,1.3,17.4,10.9,0,353,98.0,2.11,9.1,0.1
15.260149,120.894308,487,0.99,8.3,38.5,Robusta S795,1784,Rainfed,69.8,159.7,7.9,18,585,7,23.6,32.3,27.8,16.0,58.9,505.7,1.1,534.59,1.54,5.25,1.5,0.1,7.5,40.0,15.4,25.6,1.23,14.9,10.5,0,384,98.0,1.91,10.47,0.149
16.300046,121.206843,342,2.45,10.5,44.7,Robusta Canephora,2167,Rainfed,56.9,236.3,10.9,22,757,6,21.5,29.3,24.8,190.0,74.0,599.0,7.1,445.21,0.82,4.79,2.57,0.129,2.5,116.8,20.1,33.1,1.09,14.5,10.5,0,313,98.0,1.77,11.43,0.11
16.100713,120.967424,524,2.7,18.0,36.0,Robusta S795,1956,Rainfed,15.8,114.8,4.6,5,216,7,19.0,27.8,24.0,26.1,49.4,622.3,4.1,418.58,1.51,4.65,2.11,0.109,2.6,80.9,19.0,21.6,1.19,14.1,11.0,0,341,98.0,1.88,0.0,0.249
15.183349,121.261819,407,1.1,15.2,44.8,Robusta Liberica,1947,Drip,49.1,192.8,8.2,16,547,7,23.9,33.6,28.9,80.0,60.7,504.1,4.7,565.89,1.56,5.0,3.71,0.174,3.8,55.8,23.0,23.9,1.18,15.0,11.4,0,318,98.0,1.91,8.34,0.14
15.235069,120.636345,215,0.84,24.3,36.5,Robusta S795,2436,Drip,32.0,164.5,6.8,10,401,1,23.4,30.9,27.1,148.0,70.2,556.9,6.2,513.26,1.07,5.12,1.5,0.1,9.6,111.3,13.8,21.5,1.22,17.1,10.7,0,389,98.0,2.11,1.89,0.005
15.46327,120.853774,432,2.91,10.0,24.0,Robusta S795,1519,Rainfed,66.7,161.5,7.6,17,559,1,23.9,30.4,27.4,111.7,66.1,429.3,2.4,520.61,1.24,5.15,1.5,0.1,4.4,120.3,18.2,24.0,1.05,18.7,11.5,0,335,98.0,1.97,10.41,0.033
15.774403,121.818708,737,2.09,17.3,22.0,Robusta S795,1650,Drip,48.9,217.1,8.9,17,592,7,22.9,30.5,26.1,2.2,60.7,455.6,6.0,482.04,1.33,5.0,1.6,0.1,11.1,78.3,17.6,21.2,0.94,15.6,12.1,0,366,98.0,1.82,8.36,0.168
16.436978,122.097428,375,2.95,17.0,37.5,Robusta Canephora,2020,Drip,23.3,142.5,5.6,7,299,8,21.8,29.7,25.6,5.4,61.6,544.7,2.2,467.76,1.26,5.2,1.5,0.1,6.3,19.8,12.7,26.2,1.13,14.8,11.7,0,333,98.0,2.09,0.0,0.19
15.870596,120.683742,779,1.72,8.0,30.3,Robusta Liberica,2042,Rainfed,48.6,203.9,8.6,16,566,7,18.5,27.7,22.9,141.9,78.8,489.1,1.2,387.61,0.59,4.78,1.5,0.1,6.2,108.3,12.4,19.5,1.08,13.0,11.5,0,360,98.0,1.57,6.75,0.205
15.891236,120.506437,571,1.39,20.9,22.8,Robusta Canephora,2374,Rainfed,64.1,156.7,7.9,17,571,7,22.0,29.5,26.4,174.6,72.5,507.8,5.3,492.56,0.95,5.37,1.55,0.1,3.9,38.6,12.8,28.1,1.25,16.7,10.1,0,366,98.0,1.72,9.34,0.03
16.482253,121.994439,643,2.88,9.1,37.0,Robusta Liberica,1834,Rainfed,13.7,108.3,4.2,4,189,1,24.2,31.9,28.3,158.1,62.2,474.7,3.4,547.71,1.45,4.5,2.41,0.117,14.6,42.9,16.5,26.5,1.26,15.8,10.8,0,360,98.0,1.93,0.0,0.065
14.999092,121.043899,655,1.62,20.5,22.0,Robusta S795,2353,Rainfed,56.6,153.3,7.1,14,489,7,24.6,32.8,28.3,8.1,62.8,654.4,5.5,547.72,1.43,5.32,2.13,0.1,7.8,64.3,17.2,22.0,1.39,16.6,11.0,0,380,98.0,1.31,7.43,0.182
16.0834,121.597677,567,1.07,21.9,32.9,Robusta S795,2445,Drip,60.2,142.2,6.9,14,484,3,20.5,28.9,24.8,21.6,58.5,627.8,1.4,445.4,1.3,5.24,5.04,0.248,7.3,84.5,27.5,20.1,1.15,18.0,10.5,1,295,98.0,2.06,8.11,0.213
16.085709,121.655187,580,2.49,12.9,47.5,Robusta Liberica,1657,Drip,69.1,224.8,10.7,24,794,1,21.2,29.5,26.0,172.5,71.8,526.6,4.3,479.53,0.95,4.88,2.39,0.122,4.7,69.0,16.3,27.1,1.12,19.0,11.5,0,359,98.0,1.76,14.86,0.05
16.216354,122.138127,524,2.28,11.3,34.1,Robusta Canephora,2151,Rainfed,30.3,167.5,6.9,10,395,7,23.2,30.7,27.2,2.7,60.9,471.9,7.2,516.61,1.41,5.38,5.81,0.274,6.9,66.7,29.4,26.5,1.01,15.4,10.5,0,313,98.0,1.85,2.15,0.132
16.018497,122.307216,339,2.52,6.2,47.0,Robusta Canephora,2407,Drip,52.4,228.9,9.9,19,676,8,23.1,31.8,27.1,109.7,70.7,501.8,3.2,511.7,1.05,5.35,1.81,0.1,3.2,66.2,20.0,15.6,1.11,17.6,10.3,0,378,98.0,2.51,8.87,0.02
16.284605,120.87066,247,1.1,20.9,21.0,Robusta Canephora,1767,Drip,53.3,170.1,7.6,15,516,8,25.6,33.1,29.1,153.1,75.2,415.1,2.3,572.35,1.0,5.09,4.6,0.228,2.5,66.9,25.7,16.3,1.29,16.3,10.9,0,302,98.0,2.69,7.28,0.105
15.439488,121.394936,484,1.98,15.7,45.6,Robusta S795,1719,Rainfed,19.8,127.2,5.0,6,250,6,25.1,33.2,29.2,80.5,55.4,449.6,2.1,576.03,1.81,4.96,2.11,0.116,2.7,22.0,17.9,27.5,0.91,15.3,11.1,0,354,98.0,1.82,0.0,0.154
15.87318,120.728975,430,1.64,12.4,23.6,Robusta S795,1571,Rainfed,37.5,183.5,7.4,12,457,1,23.7,31.7,28.0,241.5,81.1,446.9,3.3,540.72,0.72,4.98,2.09,0.102,24.2,42.2,13.4,28.7,1.28,17.3,12.5,0,327,98.0,2.3,4.68,0.05
15.392839,122.096761,693,2.64,23.3,32.9,Robusta Canephora,2082,Rainfed,55.3,190.4,8.2,17,568,1,24.9,32.0,28.7,397.0,72.5,542.7,6.0,560.37,1.08,4.69,1.5,0.1,11.7,54.2,15.8,24.8,0.98,15.8,11.3,0,347,98.0,1.89,8.47,0.085
14.82005,120.546704,653,1.65,10.8,47.0,Robusta S795,1870,Rainfed,46.1,206.6,8.2,15,540,7,22.6,29.8,26.7,211.0,78.2,457.6,1.4,499.97,0.76,5.06,2.17,0.1,7.9,41.6,18.3,23.2,1.24,17.6,11.9,0,330,98.0,1.79,6.35,0.015
16.205116,121.921769,744,0.83,16.9,38.0,Robusta Liberica,2033,Drip,21.4,151.0,5.8,7,299,6,21.2,29.3,25.8,252.1,74.0,401.0,2.5,473.65,0.86,4.77,1.5,0.1,12.4,150.0,14.7,24.7,1.19,17.0,11.4,0,352,98.0,2.35,0.0,0.06
16.28618,120.624915,730,1.62,15.2,38.8,Robusta Canephora,2234,Drip,78.9,184.1,10.0,25,760,7,26.7,35.7,31.0,39.6,63.7,631.8,2.8,630.58,1.63,5.09,2.38,0.12,4.2,33.6,19.3,15.7,1.31,16.5,10.6,0,368,98.0,2.13,15.23,0.285
15.833709,120.922225,718,1.5,10.9,24.6,Robusta Canephora,2406,Rainfed,46.3,176.5,7.4,14,483,7,22.9,32.0,27.8,31.3,50.1,300.0,2.9,535.05,1.87,5.26,3.37,0.159,6.0,104.5,20.3,29.4,0.9,14.6,10.5,0,350,98.0,1.9,5.84,0.134
16.178677,120.50764,348,2.35,11.3,23.1,Robusta S795,1629,Rainfed,74.4,201.0,10.3,24,775,7,24.1,32.9,29.0,82.6,61.2,451.8,3.2,570.63,1.56,5.23,1.5,0.1,4.4,60.9,16.0,25.8,1.12,14.5,11.8,0,340,98.0,2.09,13.61,0.142
16.041561,120.505763,715,0.97,16.0,32.5,Robusta Liberica,1711,Drip,46.0,170.4,7.3,13,473,7,21.7,30.2,26.0,4.4,62.9,621.5,4.4,480.72,1.25,5.69,2.39,0.118,3.2,50.5,19.9,22.4,1.12,15.7,12.9,0,373,96.0,2.16,5.14,0.171
15.538065,121.855085,387,2.43,20.5,35.6,Robusta Liberica,2357,Rainfed,17.5,135.1,4.8,5,233,7,20.8,28.0,24.2,12.5,49.2,451.0,4.2,425.3,1.53,5.75,3.78,0.19,11.7,60.3,22.3,23.0,1.19,16.2,11.5,0,355,98.0,1.87,0.0,0.253
15.664418,122.480418,343,1.83,18.0,39.3,Robusta Liberica,1865,Rainfed,26.1,160.6,6.2,8,340,8,20.8,29.5,25.3,50.0,49.6,641.2,0.8,459.77,1.63,5.12,1.5,0.1,5.6,29.3,14.9,17.0,1.18,15.7,10.7,0,415,98.0,1.43,1.62,0.16
15.365632,120.5878,299,1.61,9.2,21.5,Robusta S795,1636,Sprinkler,50.0,225.6,9.7,19,652,0,22.0,29.5,25.2,293.0,74.1,473.3,0.6,456.14,0.83,5.03,1.5,0.1,7.3,51.6,16.1,27.6,0.99,15.7,11.2,1,381,98.0,2.27,8.36,0.09
16.109506,120.592113,684,0.94,15.3,44.2,Robusta Liberica,1928,Rainfed,46.6,155.3,6.4,12,417,6,21.5,28.8,25.0,260.8,64.2,365.7,3.0,451.19,1.14,5.56,1.5,0.1,9.3,37.0,14.1,25.1,1.01,16.2,11.5,0,366,98.0,2.79,4.93,0.1
16.017553,121.064992,411,2.74,23.9,46.8,Robusta S795,2263,Drip,76.0,167.3,8.9,21,681,7,24.1,31.2,27.6,225.6,72.5,551.6,1.9,528.16,1.02,5.56,1.5,0.1,6.6,50.0,20.1,29.3,1.12,17.0,11.8,0,345,98.0,1.82,12.95,0.03
15.963449,121.781271,449,2.4,17.2,46.9,Robusta S795,2212,Drip,25.1,132.5,5.4,7,292,2,24.1,33.6,28.7,182.1,88.9,580.1,2.7,560.06,0.44,5.33,4.54,0.211,8.7,44.7,26.4,13.5,1.17,17.2,10.9,0,369,98.0,2.13,0.83,0.085
15.048143,122.114142,317,1.36,11.7,49.4,Robusta Canephora,1618,Drip,60.3,229.0,10.5,22,742,1,19.5,27.0,23.1,334.8,73.2,454.6,3.1,392.38,0.76,5.31,2.2,0.139,20.1,131.0,15.6,24.8,1.18,18.2,11.8,0,333,98.0,1.94,11.8,0.195
16.370594,122.201361,789,2.07,10.0,24.9,Robusta S795,2048,Rainfed,34.1,158.2,6.5,10,389,1,25.3,33.4,28.9,70.3,54.4,587.5,7.9,567.65,1.82,5.36,1.94,0.108,13.0,111.2,15.8,20.2,1.01,16.0,10.4,0,395,98.0,1.82,2.89,0.15
15.909109,121.345457,407,1.49,10.3,26.2,Robusta S795,2240,Drip,51.6,188.5,7.9,15,532,5,23.9,31.4,28.1,198.5,69.2,429.3,2.3,541.72,1.17,5.49,1.5,0.1,8.7,150.0,19.6,20.1,0.93,15.2,11.5,0,345,98.0,2.23,8.15,0.055
15.978816,120.929336,598,1.75,19.9,29.8,Robusta Canephora,1584,Drip,74.0,229.6,11.6,27,800,1,23.0,31.9,26.9,23.7,70.8,615.2,5.1,507.36,1.04,5.35,1.5,0.1,14.1,116.6,14.7,29.5,0.9,18.0,9.7,1,352,98.0,1.88,16.43,0.106
14.912435,122.099438,400,2.66,23.3,45.8,Robusta Liberica,2287,Rainfed,57.4,224.2,10.2,21,715,8,25.0,32.7,28.9,106.1,71.2,367.5,1.4,565.84,1.15,5.28,1.68,0.1,8.9,72.1,13.8,27.9,1.3,14.4,10.3,0,285,98.0,2.16,10.8,0.114
15.207578,122.157111,673,1.27,23.3,48.6,Robusta Liberica,1854,Rainfed,79.8,213.5,11.5,28,800,2,18.4,25.8,22.4,357.8,78.9,453.1,7.0,371.2,0.57,4.92,1.5,0.1,9.8,85.8,13.8,18.7,1.12,16.6,9.9,0,333,98.0,2.03,16.66,0.23
15.613757,121.33155,457,1.85,18.9,41.1,Robusta S795,1703,Rainfed,51.4,207.8,8.9,17,606,7,21.5,30.8,26.4,220.8,77.8,494.3,1.0,491.05,0.76,5.36,4.39,0.211,15.0,78.6,23.5,29.6,1.31,15.6,11.3,0,357,98.0,1.46,8.37,0.03
15.521124,122.141198,442,1.71,5.3,32.3,Robusta S795,2303,Sprinkler,26.7,157.2,6.5,9,358,1,17.7,25.8,22.6,189.0,69.7,351.0,3.9,378.67,0.83,4.76,1.5,0.1,11.8,87.8,14.8,35.6,1.19,16.6,11.6,0,368,98.0,2.12,1.56,0.22
15.740948,121.984506,301,0.99,22.8,42.5,Robusta S795,1758,Drip,43.2,172.4,7.0,12,447,8,24.4,33.0,28.5,16.1,63.3,454.0,6.7,553.73,1.43,4.83,2.7,0.141,18.1,106.8,20.6,24.7,1.38,16.8,10.3,0,372,98.0,1.96,3.79,0.184
15.056915,121.809418,694,0.66,20.5,44.6,Robusta Canephora,2483,Drip,67.7,210.3,10.8,24,790,6,21.9,29.3,25.3,16.1,63.6,596.8,3.3,459.87,1.17,5.1,1.61,0.1,6.0,44.7,16.8,30.2,1.15,17.0,11.1,1,347,98.0,1.94,13.56,0.194
14.660444,121.124393,209,0.54,23.3,41.2,Robusta Canephora,2337,Drip,52.6,191.5,8.5,17,578,8,25.3,33.7,29.5,259.5,89.2,454.7,0.7,585.47,0.45,5.14,2.95,0.154,9.3,53.1,19.0,19.7,1.37,17.5,12.1,0,362,98.0,1.69,9.1,0.125
15.698604,120.858712,623,1.64,18.4,45.1,Robusta Liberica,1560,Drip,13.8,117.7,4.3,4,194,1,20.3,28.6,24.2,275.9,76.1,587.1,3.1,426.54,0.72,5.11,5.05,0.26,5.7,52.0,29.3,33.2,1.22,14.5,12.2,0,331,98.0,1.81,0.0,0.14
15.882424,121.706079,571,2.85,20.5,23.8,Robusta Canephora,1935,Rainfed,60.2,185.1,8.9,19,633,0,24.1,32.7,28.2,201.0,64.8,598.5,3.7,545.12,1.34,5.07,3.9,0.203,13.4,110.9,23.4,25.6,1.13,18.3,10.4,0,315,98.0,1.85,10.41,0.06
15.194125,121.594475,795,2.16,9.0,21.3,Robusta Canephora,2340,Sprinkler,76.0,181.3,9.1,22,693,1,21.4,29.9,25.4,421.2,74.5,456.0,5.1,462.34,0.83,5.12,2.49,0.112,19.5,50.6,21.7,19.2,1.18,14.7,10.5,1,333,98.0,1.67,12.76,0.08
15.249096,122.095465,420,0.72,16.1,45.4,Robusta Canephora,1837,Sprinkler,13.8,120.0,4.5,4,205,6,23.4,31.6,27.4,61.2,55.4,524.3,0.7,522.92,1.63,5.01,1.5,0.1,5.7,79.2,17.2,25.4,1.39,16.3,12.2,0,323,98.0,2.34,0.0,0.084
14.590905,121.793201,336,2.18,14.4,43.2,Robusta S795,1550,Rainfed,51.7,206.5,9.1,18,614,7,26.4,32.8,29.7,186.0,77.0,429.9,1.2,591.82,0.96,5.63,1.5,0.1,8.5,79.2,15.5,25.5,1.34,15.7,10.9,1,346,98.0,2.06,8.09,0.135
15.722927,121.857,390,2.62,23.9,46.5,Robusta Liberica,1777,Rainfed,81.4,202.9,11.3,28,800,2,25.2,33.8,30.2,2.5,46.9,488.4,5.0,604.96,2.28,5.39,1.89,0.1,6.2,57.5,10.6,35.4,1.09,17.3,11.1,0,321,98.0,2.52,17.02,0.282
15.304813,122.269174,737,2.77,11.3,40.7,Robusta S795,1940,Drip,79.7,211.1,11.8,29,800,5,22.5,30.5,27.1,262.1,69.1,527.0,1.4,513.25,1.11,5.61,2.19,0.107,5.3,92.1,19.0,25.5,1.12,16.3,10.8,0,330,98.0,1.57,18.22,0.005
16.291396,122.067,619,2.04,22.3,26.7,Robusta Canephora,1672,Rainfed,33.3,179.0,7.1,11,421,5,22.9,29.7,26.6,35.3,63.6,394.8,2.1,498.9,1.27,4.74,2.75,0.142,2.0,23.8,16.6,10.8,1.08,15.3,10.7,0,384,98.0,2.12,3.06,0.11
14.737288,122.367499,610,1.83,5.7,34.3,Robusta Liberica,1661,Drip,81.9,189.8,10.2,26,789,5,27.1,34.1,30.2,28.5,64.0,531.5,3.6,606.81,1.55,4.59,2.7,0.14,2.0,37.0,22.9,20.7,1.07,15.4,11.3,0,340,98.0,1.64,15.4,0.256
